Frequency [Hz],Input,FIR out,IIR out
0.000000000000000000e+00,2.738260692370216276e+01,-2.601239809818207505e+01,-3.850082053732030118e+01
2.500000000000000000e-01,2.571184355323593351e+01,-2.760292453368431609e+01,-4.205438520364953092e+01
5.000000000000000000e-01,1.383928097044862326e+01,-3.713231634475406651e+01,-3.709332694972272293e+01
7.500000000000000000e-01,1.835891698916020687e+01,-3.713554460871277030e+01,-2.540729135700473051e+01
1.000000000000000000e+00,1.557421875726947569e+01,-4.076812260210013505e+01,-2.715171125546372366e+01
1.250000000000000000e+00,1.440128906328313363e+01,-4.716088875812409498e+01,-1.980817278500881429e+01
1.500000000000000000e+00,2.021212415510928651e+01,-4.211614686466820245e+01,-1.208347127467086324e+01
1.750000000000000000e+00,1.995346082327391102e+01,-4.507745584174612929e+01,-1.084216517550919079e+01
2.000000000000000000e+00,1.460774157711844268e+01,-4.997986196764752975e+01,-1.339775590706449293e+01
2.250000000000000000e+00,2.212258000005206782e+01,-4.946936835255039000e+01,-2.906273314787041429e+00
2.500000000000000000e+00,2.312493443796567050e+01,-4.847728283165676544e+01,-1.395761550479479141e+00
2.750000000000000000e+00,1.970613651742444006e+01,-4.959490930684415844e+01,-2.376142402549178634e+00
3.000000000000000000e+00,1.998692573475651457e+01,-4.945167745915708224e+01,-1.267151197589605260e+00
3.250000000000000000e+00,1.553019444644362856e+01,-5.478757028605706836e+01,-4.419008753191047134e+00
3.500000000000000000e+00,1.684080268226365718e+01,-5.130923372648265968e+01,-1.573527627744914170e+00
3.750000000000000000e+00,1.660956845995428210e+01,-5.454797618523178926e+01,-1.261752245890919721e-01
4.000000000000000000e+00,1.714556755883620909e+01,-5.926013926341541094e+01,8.541950564368976373e-01
4.250000000000000000e+00,5.767195740208087784e+00,-4.968684360332034089e+01,-1.073977773060826912e+01
4.500000000000000000e+00,1.367841486428580566e+01,-3.275087927030951107e+01,6.925504997475007141e-02
4.750000000000000000e+00,1.904696596665373320e+01,-2.402950363703098802e+01,6.230436951164027626e+00
5.000000000000000000e+00,2.136728158383130349e+01,-1.862532405468775210e+01,9.169472957355344178e+00
5.250000000000000000e+00,2.196018081706792202e+01,-1.482279672258121650e+01,1.045093716902406200e+01
5.500000000000000000e+00,1.960741343769232614e+01,-1.601265911660305719e+01,8.468695732173117108e+00
5.750000000000000000e+00,2.404222328110000362e+01,-5.439176230815619739e+00,1.428437657851779896e+01
6.000000000000000000e+00,2.496750831407432258e+01,-3.522751189150992168e+00,1.544661161175538133e+01
6.250000000000000000e+00,1.592257820054296324e+01,-7.757987102817277325e+00,7.514875999605097334e+00
6.500000000000000000e+00,-1.140371823986013666e+00,-1.417204334952698730e+01,-1.105289268635305255e+01
6.750000000000000000e+00,1.958850903520396969e+01,-1.420374670772438730e+00,1.206446745273150434e+01
7.000000000000000000e+00,1.614192194695771221e+01,-5.023040599604168932e+00,8.712791052403050074e+00
7.250000000000000000e+00,6.708380905183823018e+00,-1.039458016085663949e+01,1.268496949027284326e-01
7.500000000000000000e+00,1.317359177357649713e+01,-3.404003652315100048e+00,7.148138734542690997e+00
7.750000000000000000e+00,1.847078898574881478e+01,3.581073247828556294e+00,1.273939746875909051e+01
8.000000000000000000e+00,1.429950192096338313e+01,-3.428191538171713848e+00,8.316659037794542186e+00
8.250000000000000000e+00,1.625084601960054442e+01,4.454852942573840124e+00,1.139566380812521196e+01
8.500000000000000000e+00,1.196825276470754318e+01,-4.177587487215722817e+00,6.628249765919790093e+00
8.750000000000000000e+00,2.272506821734309312e+01,1.293658114033222617e+01,1.857508083533802790e+01
9.000000000000000000e+00,2.454691319748453893e+01,1.506391338618305831e+01,2.045837044045748954e+01
9.250000000000000000e+00,2.016374718127381982e+01,1.286746669241141561e+01,1.664270315710696480e+01
9.500000000000000000e+00,1.882575218732288747e+01,1.101101050869293374e+01,1.524177443511419305e+01
9.750000000000000000e+00,6.651263040305184226e+00,-6.237927339350108902e+00,2.636433680849831873e+00
1.000000000000000000e+01,8.830728678115306707e+00,5.979398003911034820e+00,6.475197179468703546e+00
1.025000000000000000e+01,1.660414556032066358e+01,1.224925307753477099e+01,1.396786524113127470e+01
1.050000000000000000e+01,5.979350985582448708e+00,-7.288683534400661301e+00,2.089291332607538632e+00
1.075000000000000000e+01,1.713298121741369329e+01,1.276189986965049528e+01,1.470266250798010255e+01
1.100000000000000000e+01,1.897053815338477634e+01,1.367514194828125973e+01,1.654029224980329715e+01
1.125000000000000000e+01,2.249450681390084839e+01,1.997800102835200065e+01,2.045577966824726346e+01
