Frequency [Hz],FIR,IIR
0.000000000000000000e+00,-5.352439224215690672e+01,-2.400000000000000000e+02
1.221001221001220965e-01,-5.357221490962349719e+01,-7.653707171815433696e+01
2.442002442002441931e-01,-5.371607898036334916e+01,-6.449587078123647643e+01
3.663003663003662758e-01,-5.395717729737167190e+01,-5.745222242471424323e+01
4.884004884004883862e-01,-5.429751234758631995e+01,-5.245468386625344692e+01
6.105006105006104411e-01,-5.473991381544477974e+01,-4.857831124922800825e+01
7.326007326007325515e-01,-5.528805338199809682e+01,-4.541111671886233125e+01
8.547008547008546619e-01,-5.594644256404360760e+01,-4.273334057662916052e+01
9.768009768009767724e-01,-5.672038719213733771e+01,-4.041381330659731219e+01
1.098901098901098772e+00,-5.761584991380453147e+01,-3.836793552802922136e+01
1.221001221001220882e+00,-5.863913156348545641e+01,-3.653795118573081879e+01
1.343101343101342993e+00,-5.979620852622546323e+01,-3.488267317298327441e+01
1.465201465201465103e+00,-6.109143116998440348e+01,-3.337169849308589420e+01
1.587301587301587213e+00,-6.252506068746892254e+01,-3.198194689683164427e+01
1.709401709401709324e+00,-6.408876370341691597e+01,-3.069548592777364249e+01
1.831501831501831434e+00,-6.575775008587233117e+01,-2.949810814634828304e+01
1.953601953601953545e+00,-6.747818422534091098e+01,-2.837836846555483561e+01
2.075702075702075433e+00,-6.915046578926376242e+01,-2.732691383489780179e+01
2.197802197802197544e+00,-7.061656798127222601e+01,-2.633600480207244487e+01
2.319902319902319654e+00,-7.167440936804280227e+01,-2.539916659083172590e+01
2.442002442002441764e+00,-7.214610972990145399e+01,-2.451092976832564219e+01
2.564102564102563875e+00,-7.197881350446083104e+01,-2.366663423498918917e+01
2.686202686202685985e+00,-7.128668577114015648e+01,-2.286227883680558293e+01
2.808302808302808096e+00,-7.028670408307023365e+01,-2.209440441505798347e+01
2.930402930402930206e+00,-6.920202259512096532e+01,-2.136000174316094657e+01
3.052503052503052317e+00,-6.821264378127415284e+01,-2.065643824621345459e+01
3.174603174603174427e+00,-6.745792093069263728e+01,-1.998139907649752445e+01
3.296703296703296537e+00,-6.706533725588700179e+01,-1.933283928855978928e+01
3.418803418803418648e+00,-6.719672401390734251e+01,-1.870894468725499848e+01
3.540903540903540758e+00,-6.814024267081886421e+01,-1.810809951854707478e+01
3.663003663003662869e+00,-7.060446111326865548e+01,-1.752885960753301475e+01
3.785103785103784979e+00,-7.762660016886981396e+01,-1.696992986868627185e+01
3.907203907203907089e+00,-7.876295255480401636e+01,-1.643014535241768215e+01
4.029304029304029200e+00,-6.668858300631855229e+01,-1.590845517230489570e+01
4.151404151404150866e+00,-6.062369614625688286e+01,-1.540390879453447326e+01
4.273504273504273421e+00,-5.625639582672811656e+01,-1.491564427652424385e+01
4.395604395604395087e+00,-5.273267696615712197e+01,-1.444287812339201693e+01
4.517704517704517642e+00,-4.972791573812983756e+01,-1.398489649474052143e+01
4.639804639804639308e+00,-4.708207301735007633e+01,-1.354104754447762105e+01
4.761904761904761862e+00,-4.470356439076081045e+01,-1.311073471625787512e+01
4.884004884004883529e+00,-4.253456483107540009e+01,-1.269341084890605131e+01
5.006105006105006083e+00,-4.053591464477163697e+01,-1.228857297178809915e+01
5.128205128205127750e+00,-3.867966564852972056e+01,-1.189575769073024958e+01
5.250305250305250304e+00,-3.694504276724268266e+01,-1.151453708192553904e+01
5.372405372405371971e+00,-3.531609455907216244e+01,-1.114451502499961677e+01
5.494505494505494525e+00,-3.378024664396905052e+01,-1.078532391764561105e+01
5.616605616605616191e+00,-3.232736887850207097e+01,-1.043662172364633633e+01
5.738705738705738746e+00,-3.094915019071702389e+01,-1.009808931369079055e+01
5.860805860805860412e+00,-2.963866571882178391e+01,-9.769428064859729588e+00
5.982905982905982967e+00,-2.839006860752025219e+01,-9.450357689975497522e+00
6.105006105006104633e+00,-2.719836518682448911e+01,-9.140614272406335061e+00
6.227106227106227188e+00,-2.605924746944349124e+01,-8.839948485643882137e+00
6.349206349206348854e+00,-2.496896600721466797e+01,-8.548123980036180569e+00
6.471306471306471408e+00,-2.392423177545272139e+01,-8.264915921617642880e+00
6.593406593406593075e+00,-2.292213933456537234e+01,-7.990109670080275173e+00
6.715506715506715629e+00,-2.196010585473911902e+01,-7.723499584703782617e+00
6.837606837606837296e+00,-2.103582214939311612e+01,-7.464887948453236888e+00
6.959706959706959850e+00,-2.014721292621967308e+01,-7.214084001633097820e+00
7.081807081807081516e+00,-1.929240420285051627e+01,-6.970903077435170125e+00
7.203907203907204071e+00,-1.846969635560054357e+01,-6.735165832405984432e+00
7.326007326007325737e+00,-1.767754164379979542e+01,-6.506697565517201909e+00
7.448107448107448292e+00,-1.691452532443456391e+01,-6.285327619903807062e+00
7.570207570207569958e+00,-1.617934967253750145e+01,-6.070888861728091612e+00
7.692307692307692513e+00,-1.547082037258045339e+01,-5.863217230866441199e+00
7.814407814407814179e+00,-1.478783485920927454e+01,-5.662151358318032734e+00
7.936507936507935845e+00,-1.412937227192093204e+01,-5.467532245388935230e+00
8.058608058608058400e+00,-1.349448475472492603e+01,-5.279202999812920183e+00
8.180708180708180066e+00,-1.288228988347580994e+01,-5.097008624085149542e+00
8.302808302808301733e+00,-1.229196404404974885e+01,-4.920795851348506389e+00
8.424908424908425175e+00,-1.172273661652963916e+01,-4.750413024309649401e+00
8.547008547008546842e+00,-1.117388484603415577e+01,-4.585710012712580053e+00
8.669108669108668508e+00,-1.064472930124703964e+01,-4.426538165053889529e+00
8.791208791208790174e+00,-1.013462983818726748e+01,-4.272750290327711475e+00
8.913308913308913617e+00,-9.642982000148347055e+00,-4.124200665764067075e+00
9.035409035409035283e+00,-9.169213795675702272e+00,-3.980745066672497945e+00
