Frequency [Hz],FIR,IIR
6.105006105006104827e-02,1.499999999999903366e+02,-4.071525129795358680e+03
1.831501831501831379e-01,1.500000000000059686e+02,2.348157919656492965e+01
3.052503052503052206e-01,1.500000000000111129e+02,2.349498519393246809e+01
4.273504273504273310e-01,1.499999999999463967e+02,2.351506417538123728e+01
5.494505494505493859e-01,1.500000000000354703e+02,2.354177997222130969e+01
6.715506715506714963e-01,1.500000000000741522e+02,2.357508411365883561e+01
7.936507936507936067e-01,1.499999999998689191e+02,2.361491561457683375e+01
9.157509157509157172e-01,1.499999999999816112e+02,2.366120071930915358e+01
1.037851037851037717e+00,1.500000000001136016e+02,2.371385259513398935e+01
1.159951159951159827e+00,1.499999999999616591e+02,2.377277098388607612e+01
1.282051282051281937e+00,1.500000000000250395e+02,2.383784181335243346e+01
1.404151404151404048e+00,1.500000000000150351e+02,2.390893677182051391e+01
1.526251526251526158e+00,1.499999999999453166e+02,2.398591285176400234e+01
1.648351648351648269e+00,1.499999999998090061e+02,2.406861186643046224e+01
1.770451770451770379e+00,1.500000000001956266e+02,2.415685994822394989e+01
1.892551892551892490e+00,1.499999999997542943e+02,2.425046703172955276e+01
2.014652014652014600e+00,1.500000000002544311e+02,2.434922633289721716e+01
2.136752136752136266e+00,1.499999999998963744e+02,2.445291383011481301e+01
2.258852258852258821e+00,1.500000000004389449e+02,2.456128775712132395e+01
2.380952380952380487e+00,1.499999999995148983e+02,2.467408811923887058e+01
2.503052503052503042e+00,1.500000000000218279e+02,2.479103624107817083e+01
2.625152625152624708e+00,1.500000000004477840e+02,2.491183436037498566e+01
2.747252747252747263e+00,1.499999999997642988e+02,2.503616527730752850e+01
2.869352869352868929e+00,1.499999999995633289e+02,2.516369207597247382e+01
2.991452991452991483e+00,1.500000000005363461e+02,2.529405792856301005e+01
3.113553113553113150e+00,1.499999999997492637e+02,2.542688599763055279e+01
3.235653235653235704e+00,1.500000000004459082e+02,2.556177945275766561e+01
3.357753357753357371e+00,1.499999999990977244e+02,2.569832161300591622e+01
3.479853479853479925e+00,1.500000000009843575e+02,2.583607623258719954e+01
3.601953601953601591e+00,1.499999999993784741e+02,2.597458794359862111e+01
3.724053724053724146e+00,1.499999999999280078e+02,2.611338286828186028e+01
3.846153846153845812e+00,-3.944999999998104158e+03,2.625196941609977230e+01
3.968253968253968367e+00,1.499999999979342533e+02,2.638983927486948744e+01
4.090354090354090033e+00,1.500000000005323955e+02,2.652646860840808785e+01
4.212454212454211699e+00,1.500000000000163141e+02,2.666131946799148622e+01
4.334554334554334254e+00,1.499999999998342730e+02,2.679384142215519660e+01
4.456654456654456808e+00,1.499999999999892282e+02,2.692347341126425775e+01
4.578754578754578475e+00,1.500000000000183604e+02,2.704964582379528082e+01
4.700854700854700141e+00,1.500000000000035811e+02,2.717178279246775574e+01
4.822954822954822696e+00,1.499999999999998295e+02,2.728930470299267697e+01
4.945054945054945250e+00,1.499999999999966462e+02,2.740163090405865631e+01
5.067155067155066916e+00,1.499999999999986926e+02,2.750818260396660619e+01
5.189255189255188583e+00,1.500000000000088960e+02,2.760838593279603614e+01
5.311355311355311137e+00,1.499999999999983800e+02,2.770167514648044360e+01
5.433455433455433692e+00,1.499999999999970441e+02,2.778749594908945753e+01
5.555555555555555358e+00,1.499999999999934630e+02,2.786530889086600382e+01
5.677655677655677025e+00,1.500000000000103455e+02,2.793459281813515815e+01
5.799755799755799579e+00,1.499999999999969020e+02,2.799484832938680867e+01
5.921855921855922134e+00,1.500000000000010800e+02,2.804560119500685289e+01
6.043956043956043800e+00,1.499999999999956515e+02,2.808640570102729583e+01
6.166056166056165466e+00,1.500000000000002274e+02,2.811684787201356883e+01
6.288156288156288021e+00,1.500000000000030127e+02,2.813654852403553619e+01
6.410256410256410575e+00,1.499999999999885461e+02,2.814516610830339616e+01
6.532356532356532242e+00,1.500000000000029274e+02,2.814239930226718300e+01
6.654456654456653908e+00,1.500000000000061107e+02,2.812798930508026274e+01
6.776556776556776462e+00,1.500000000000037517e+02,2.810172180623469629e+01
6.898656898656899017e+00,1.499999999999938609e+02,2.806342859459669370e+01
7.020757020757020683e+00,1.499999999999993179e+02,2.801298877581476532e+01
7.142857142857142350e+00,1.500000000000040643e+02,2.795032959089811442e+01
7.264957264957264904e+00,1.499999999999995453e+02,2.787542680661164951e+01
7.387057387057387459e+00,1.499999999999981810e+02,2.778830468430946254e+01
7.509157509157509125e+00,1.500000000000005116e+02,2.768903551991573764e+01
7.631257631257630791e+00,1.500000000000013642e+02,2.757773876518528056e+01
7.753357753357753346e+00,1.500000000000007674e+02,2.745457974466377138e+01
7.875457875457875012e+00,1.499999999999984936e+02,2.731976798792523553e+01
7.997557997557997567e+00,1.499999999999993463e+02,2.717355520512256106e+01
8.119658119658119233e+00,1.499999999999992610e+02,2.701623293636854939e+01
8.241758241758240899e+00,1.500000000000009948e+02,2.684812991714467501e+01
8.363858363858362566e+00,1.499999999999988631e+02,2.666960918677306580e+01
8.485958485958486008e+00,1.500000000000030980e+02,2.648106499941330938e+01
8.608058608058607675e+00,1.499999999999989768e+02,2.628291956754830494e+01
8.730158730158729341e+00,1.499999999999983800e+02,2.607561969317860928e+01
8.852258852258852784e+00,1.500000000000005969e+02,2.585963332311157359e+01
8.974358974358974450e+00,1.499999999999992610e+02,2.563544607941429732e+01
9.096459096459096116e+00,1.500000000000009948e+02,2.540355779855352125e+01
9.218559218559217783e+00,1.499999999999992610e+02,2.516447912816793675e+01
9.340659340659339449e+00,1.500000000000017621e+02,2.491872820240039488e+01
9.462759462759462892e+00,1.499999999999990621e+02,2.466682744935286919e+01
9.584859584859584558e+00,1.499999999999998295e+02,2.440930053104810682e+01
9.706959706959706224e+00,1.499999999999998295e+02,2.414666946753057530e+01
9.829059829059829667e+00,1.500000000000005969e+02,2.387945194235771140e+01
9.951159951159951333e+00,1.499999999999990621e+02,2.360815881908800762e+01
1.007326007326007300e+01,1.500000000000006253e+02,2.333329187083968037e+01
1.019536019536019467e+01,1.499999999999984936e+02,2.305534173657146724e+01
1.031746031746031633e+01,1.500000000000009663e+02,2.277478610157524130e+01
1.043956043956043978e+01,1.499999999999994600e+02,2.249208810607111531e+01
1.056166056166056144e+01,1.500000000000002274e+02,2.220769497792512936e+01
1.068376068376068311e+01,1.500000000000000284e+02,2.192203688240774184e+01
1.080586080586080655e+01,1.499999999999990621e+02,2.163552598179977338e+01
1.092796092796092822e+01,1.500000000000013642e+02,2.134855569671810471e+01
1.105006105006104988e+01,1.500000000000000284e+02,2.106150015183352053e+01
1.117216117216117155e+01,1.499999999999996305e+02,2.077471380381977539e+01
1.129426129426129322e+01,1.500000000000003979e+02,2.048853122531646065e+01
1.141636141636141666e+01,1.500000000000000284e+02,2.020326704205358226e+01
1.153846153846153832e+01,1.499999999999996305e+02,1.991921600200239695e+01
1.166056166056165999e+01,1.500000000000007958e+02,1.963665316664761917e+01
1.178266178266178166e+01,1.499999999999988916e+02,1.935583420618716133e+01
1.190476190476190510e+01,1.500000000000003979e+02,1.907699579182805039e+01
1.202686202686202677e+01,1.500000000000000284e+02,1.880035606354656963e+01
1.214896214896214843e+01,1.499999999999996305e+02,1.852611516812334713e+01
1.227106227106227010e+01,1.500000000000007958e+02,1.825445585298631102e+01
1.239316239316239177e+01,1.499999999999984936e+02,1.798554410500229039e+01
1.251526251526251521e+01,1.500000000000007958e+02,1.771952982549720090e+01
1.263736263736263687e+01,1.500000000000000284e+02,1.745654752949460331e+01
1.275946275946275854e+01,1.499999999999996305e+02,1.719671706594563787e+01
1.288156288156288198e+01,1.500000000000003979e+02,1.694014434602549102e+01
1.300366300366300365e+01,1.500000000000011937e+02,1.668692207828058471e+01
1.312576312576312532e+01,1.499999999999977263e+02,1.643713049841871410e+01
1.324786324786324698e+01,1.500000000000019611e+02,1.619083809593029599e+01
1.336996336996336865e+01,1.499999999999996305e+02,1.594810232827269303e+01
1.349206349206349209e+01,1.499999999999984936e+02,1.570897031943121469e+01
1.361416361416361376e+01,1.500000000000023590e+02,1.547347954192877317e+01
1.373626373626373542e+01,1.499999999999973284e+02,1.524165847867787527e+01
1.385836385836385887e+01,1.500000000000015632e+02,1.501352726090412482e+01
1.398046398046398053e+01,1.500000000000000284e+02,1.478909828318511011e+01
1.410256410256410220e+01,1.499999999999996305e+02,1.456837679386651629e+01
1.422466422466422387e+01,1.499999999999996305e+02,1.435136145872239410e+01
1.434676434676434553e+01,1.500000000000007958e+02,1.413804489748994797e+01
1.446886446886446898e+01,1.499999999999984936e+02,1.392841419587612606e+01
1.459096459096459064e+01,1.500000000000011937e+02,1.372245138883587501e+01
1.471306471306471231e+01,1.499999999999996305e+02,1.352013391867233594e+01
