Sample,FIR,IIR
0.000000000000000000e+00,-3.722309324643086139e-18,1.975951272256512847e-01
1.000000000000000000e+00,-1.734903174024527036e-04,4.506600367562204057e-01
2.000000000000000000e+00,-1.233180588755396169e-04,2.736045991353439621e-01
3.000000000000000000e+00,7.014918722365474707e-05,-5.408955039196153280e-02
4.000000000000000000e+00,1.249751387135221025e-04,-1.372906342749050101e-01
5.000000000000000000e+00,-5.597897723685022343e-05,-1.006804329877463849e-01
6.000000000000000000e+00,-2.438604803566411685e-04,-6.771452567016943147e-02
7.000000000000000000e+00,-1.916251126784357373e-04,-5.960676950030277532e-02
8.000000000000000000e+00,2.054577627480071040e-05,-6.002911971309931455e-02
9.000000000000000000e+00,8.262907137246862908e-05,-5.880045870975106337e-02
1.000000000000000000e+01,-1.203472771260929796e-04,-5.536162051569880338e-02
1.100000000000000000e+01,-3.352213299666378563e-04,-5.150459462371136110e-02
1.200000000000000000e+01,-2.771936214933837890e-04,-4.800534862392848157e-02
1.300000000000000000e+01,-3.180102707388059532e-05,-4.480334418991922113e-02
1.400000000000000000e+01,4.210149365769022192e-05,-4.172726223055138461e-02
1.500000000000000000e+01,-1.955504514166631741e-04,-3.872806770533883391e-02
1.600000000000000000e+01,-4.503128398044546773e-04,-3.582306528140182661e-02
1.700000000000000000e+01,-3.814152320704457797e-04,-3.302962745081365614e-02
1.800000000000000000e+01,-8.585883648465243571e-05,-3.035169746594696891e-02
1.900000000000000000e+01,5.995108566534495941e-06,-2.778781488019063661e-02
2.000000000000000000e+01,-2.789070407122337734e-04,-2.533675869828409810e-02
2.100000000000000000e+01,-5.863145667082322052e-04,-2.299809425232542809e-02
2.200000000000000000e+01,-4.996644543348033188e-04,-2.077130192112194851e-02
2.300000000000000000e+01,-1.341205697130553470e-04,-1.865537828313263910e-02
2.400000000000000000e+01,-1.624440384551303275e-05,-1.664888810372685754e-02
2.500000000000000000e+01,-3.606548936981164534e-04,-1.475008898172695988e-02
2.600000000000000000e+01,-7.331523682586373871e-04,-1.295699315667081172e-02
2.700000000000000000e+01,-6.198714819928331527e-04,-1.126739048075747589e-02
2.800000000000000000e+01,-1.614518047512726020e-04,-9.678867983512718168e-03
2.900000000000000000e+01,-7.481816603251015113e-06,-8.188834448622766410e-03
3.000000000000000000e+01,-4.234516493455984317e-04,-6.794546207601886469e-03
3.100000000000000000e+01,-8.733641085030769205e-04,-5.493131132270486286e-03
3.200000000000000000e+01,-7.227426144666155693e-04,-4.281610489085442214e-03
3.300000000000000000e+01,-1.456590517715874197e-04,-3.156919158561545622e-03
3.400000000000000000e+01,5.616723012046083999e-05,-2.115924509902218469e-03
3.500000000000000000e+01,-4.437241294970862811e-04,-1.155443978814842901e-03
3.600000000000000000e+01,-9.838641204147171356e-04,-2.722613496300027797e-04
3.700000000000000000e+01,-7.839076426147859565e-04,5.368582263929764977e-04
3.800000000000000000e+01,-5.999330843143761634e-05,1.275154423697211778e-03
3.900000000000000000e+01,2.024610304598706810e-04,1.945859091127924087e-03
4.000000000000000000e+01,-3.949479140836929998e-04,2.552184705129420007e-03
4.100000000000000000e+01,-1.039619465998417027e-03,3.097313877562386016e-03
4.200000000000000000e+01,-7.779349682815291578e-04,3.584389868480570337e-03
4.300000000000000000e+01,1.225455507011859060e-04,4.016508054325780216e-03
4.400000000000000000e+01,4.584303917633847131e-04,4.396708302497034405e-03
4.500000000000000000e+01,-2.525776784323310702e-04,4.727968204015626369e-03
4.600000000000000000e+01,-1.018888501349977504e-03,5.013197116898407239e-03
4.700000000000000000e+01,-6.837923319895650859e-04,5.255230973823574354e-03
4.800000000000000000e+01,4.235995413556105480e-04,5.456827808728425405e-03
4.900000000000000000e+01,8.446166439479392074e-04,5.620663958116195458e-03
5.000000000000000000e+01,-4.592063645368634948e-18,5.749330894059261933e-03
5.100000000000000000e+01,-9.093342166069051874e-04,5.845332647156455987e-03
5.200000000000000000e+01,-4.910048591467877470e-04,5.911083779022214928e-03
5.300000000000000000e+01,8.533474966950344541e-04,5.948907865245646638e-03
5.400000000000000000e+01,1.369011386021875328e-03,5.961036451149752391e-03
5.500000000000000000e+01,3.653958257988833432e-04,5.949608444097333020e-03
