Time [s],input,useful,fir_out,iir_out
0.000000000000000000e+00,-1.982806187894747829e-01,0.000000000000000000e+00,7.380617962160630878e-19,-3.917928409608713303e-02
1.000000000000000021e-03,1.373920705120333263e+00,6.665642887358065316e-01,3.439976748853558860e-05,1.821228855744979336e-01
2.000000000000000042e-03,-1.681835378514213164e-01,1.066743262584467944e+00,-2.139103581953687551e-04,5.316884186904476950e-01
3.000000000000000062e-03,1.671342587949180336e+00,1.075186064922049045e+00,-1.541602432909328383e-04,6.410914852435152245e-01
4.000000000000000083e-03,1.402082256489734391e+00,7.722803694237018179e-01,-1.976224157123626993e-04,9.371434632181911972e-01
5.000000000000000104e-03,-4.754445535346245588e-01,3.975673177702163663e-01,-2.783468808998207605e-04,8.356374384432747604e-01
6.000000000000000125e-03,6.094668467423717262e-01,2.172259769559374831e-01,-2.275034154331589091e-05,9.756737491375114257e-02
7.000000000000000146e-03,7.007260507218830980e-01,3.775536132772202569e-01,-2.750916953064159038e-05,-8.654182494266558778e-02
8.000000000000000167e-03,-3.816481174335098481e-03,8.239438074128728751e-01,-3.747523474694224900e-04,8.813647110418068586e-02
8.999999999999999320e-03,1.920078653394831081e+00,1.329342273185677659e+00,-5.444040225797006560e-04,2.865806160495729116e-01
1.000000000000000021e-02,1.796813032704039914e+00,1.616796077701760925e+00,-7.089567485550435323e-04,8.913131370949703980e-01
1.099999999999999936e-02,9.911483227135607921e-01,1.509685616770077621e+00,-7.264913291352017395e-04,1.165913017949965047e+00
1.200000000000000025e-02,1.773013658782640833e+00,1.028200429655063752e+00,-5.745194483449757349e-04,8.674391778948029597e-01
1.299999999999999940e-02,1.111540665729972843e-01,3.797368028694158015e-01,-7.644899930700082029e-04,4.531411012015692519e-01
1.400000000000000029e-02,-5.816243837920680448e-01,-1.516252626244975477e-01,-9.458642438433606872e-04,-3.323906545125710488e-01
1.499999999999999944e-02,2.897728343386136718e-01,-3.567225670316599984e-01,-9.419923616759341050e-04,-9.632577555234314026e-01
1.600000000000000033e-02,-7.830601063049437149e-01,-2.118943383068968567e-01,-1.095166985170622879e-03,-1.000119672236452706e+00
1.700000000000000122e-02,1.143851037728987885e-03,1.112924014860848937e-01,-1.214170320375563194e-03,-9.410204778855402186e-01
1.799999999999999864e-02,1.070564175437463517e+00,3.423396606865553027e-01,-1.476278869844271403e-03,-5.495142699413073650e-01
1.899999999999999953e-02,-7.289983554741257255e-01,2.618217839450099338e-01,-1.915299880237611397e-03,-1.705205580198792537e-01
2.000000000000000042e-02,-2.956552555960446083e-01,-1.763355756877415526e-01,-1.834047207845797972e-03,-5.178000926863072229e-01
2.100000000000000130e-02,-5.332894093079271203e-03,-8.167018909164234231e-01,-1.625685077047100665e-03,-8.067004231837021644e-01
2.199999999999999872e-02,-2.202603101502007554e+00,-1.383687195445066243e+00,-1.852343215936372517e-03,-1.028863626028297507e+00
2.299999999999999961e-02,-1.418364802847169814e+00,-1.628395195788041372e+00,-2.065569011698638324e-03,-1.641259419422520072e+00
2.400000000000000050e-02,-8.307828660019813682e-01,-1.461470224878770763e+00,-2.311055120261747836e-03,-1.707795962653596789e+00
2.500000000000000139e-02,-1.343847423771141525e+00,-1.000000000000000444e+00,-2.520879045959100416e-03,-1.207238218529873564e+00
2.599999999999999881e-02,-2.111732427117090916e-01,-5.031042765786073456e-01,-2.469687693264381589e-03,-7.837071454205271070e-01
2.699999999999999969e-02,3.531075228700266133e-01,-2.311577759884615446e-01,-2.570622897494943652e-03,-1.957360723082310627e-01
2.800000000000000058e-02,-1.373317062430052138e+00,-3.049686555589617987e-01,-2.941326799924490979e-03,7.153715889471641554e-02
2.900000000000000147e-02,4.972263725865096184e-02,-6.412353639263984606e-01,-2.923915944757600298e-03,-2.184200842832497158e-01
2.999999999999999889e-02,-1.291617308775288686e+00,-9.992349288972026677e-01,-2.890745724628257692e-03,-3.813824590755094945e-01
3.099999999999999978e-02,-1.422729416449073359e+00,-1.113380367075154975e+00,-2.751018371650695935e-03,-6.179252237123231684e-01
3.200000000000000067e-02,1.296065271994185641e-01,-8.397194350162666687e-01,-2.757517702439404948e-03,-6.200587548635105861e-01
3.300000000000000155e-02,-1.996578398809020216e-01,-2.368734405447145974e-01,-3.233574179033686224e-03,8.683981837952423066e-03
3.400000000000000244e-02,-2.290506850373520420e-01,4.625608054355047072e-01,-3.503765889929040880e-03,4.229273852308200743e-01
3.500000000000000333e-02,1.945895312152738255e+00,9.747565557815545123e-01,-3.176843779973367952e-03,8.000917174804673682e-01
3.599999999999999728e-02,5.151510765365830968e-01,1.115132610827929360e+00,-3.040084002759128618e-03,1.391515938592673418e+00
3.699999999999999817e-02,5.335512533400141866e-01,8.951111766279670201e-01,-3.030298727856800718e-03,1.316566542128303929e+00
3.799999999999999906e-02,1.400305538782325332e+00,5.128260558965163085e-01,-3.153339996943383544e-03,9.963208882207639228e-01
3.899999999999999994e-02,-1.851063090651230980e-01,2.429277433176507683e-01,-3.339837127839424390e-03,8.650580805263757833e-01
4.000000000000000083e-02,3.364220087398871462e-01,2.853169548885458040e-01,-2.970277973699950429e-03,4.660368719009462812e-01
4.100000000000000172e-02,1.145103949690586820e+00,6.548871294432758727e-01,-2.517230477693573141e-03,3.697558795392865694e-01
4.200000000000000261e-02,2.048103061867944941e-01,1.172109649443668022e+00,-2.619833239399513031e-03,6.184376615513035302e-01
4.299999999999999656e-02,2.167905560936287834e+00,1.559612708980039342e+00,-2.843882031990296096e-03,8.548777712480891688e-01
4.399999999999999745e-02,2.211142807488162276e+00,1.592428127976102559e+00,-3.025505721479189274e-03,1.428365190037750532e+00
4.499999999999999833e-02,6.003986550867825844e-01,1.220466670979684531e+00,-2.686800835578159654e-03,1.566832280751344397e+00
4.599999999999999922e-02,1.612914079945857670e+00,5.968138424336806303e-01,-1.772264409307350340e-03,9.616496445624513889e-01
4.700000000000000011e-02,3.971538337700136756e-02,-3.532474964053955446e-03,-1.476261946118484535e-03,4.095500172976749287e-01
4.800000000000000100e-02,-4.514749206497741252e-01,-3.304941572151120499e-01,-1.699378743700347486e-03,-2.427635860930754397e-01
4.900000000000000189e-02,1.143138969320559140e+00,-2.918016595643585509e-01,-1.739518480881025331e-03,-5.647145552999643936e-01
5.000000000000000278e-02,4.046032800650386507e-01,-6.613092715395706481e-16,-1.413373349321323490e-03,-1.503313568284977142e-01
5.099999999999999672e-02,-1.486353030468013647e-01,2.918016595643558864e-01,-6.126225393665103887e-04,-3.635046170487507555e-02
5.199999999999999761e-02,9.253838815286485886e-01,3.304941572151126605e-01,8.421591966925400614e-05,-2.347816553502720394e-01
5.299999999999999850e-02,4.940286419168438137e-03,3.532474964060505762e-03,-2.319011696802196509e-05,-1.897389337225412753e-01
5.399999999999999939e-02,-1.177715081543537101e+00,-5.968138424336717485e-01,-1.319977774027041311e-04,-5.235623751719387098e-01
5.500000000000000028e-02,-4.258793684271501845e-01,-1.220466670979677426e+00,6.991962289852077673e-04,-1.125547764939517581e+00
5.600000000000000117e-02,-2.135264624157501512e+00,-1.592428127976100338e+00,1.845880280445961856e-03,-1.482475838261297474e+00
5.700000000000000205e-02,-1.735868815357248129e+00,-1.559612708980042672e+00,2.669459786081851849e-03,-1.848648470850411174e+00
5.800000000000000294e-02,-8.924500754669723035e-02,-1.172109649443670021e+00,2.644064968863690020e-03,-1.637042496779886669e+00
